Energy(GeV), flux(numubar/m^{2}/P.O.T/GeV), err
37.4,1.95e-08,4.41e-09
37.5,1.43e-08,3.92e-09
37.6,2.06e-08,4.43e-09
37.8,1.66e-08,4.34e-09
37.9,3.05e-08,5.8e-09
37.9,2.76e-08,6.26e-09
38,2.09e-08,4.86e-09
38.1,1.46e-08,3.53e-09
38.2,1.89e-08,4.31e-09
38.4,2.55e-08,4.79e-09
38.5,1.99e-08,4.38e-09
38.5,1.45e-08,3.61e-09
38.6,1.4e-08,3.5e-09
38.8,1.6e-08,5.01e-09
38.9,1.89e-08,4.59e-09
39,1.53e-08,3.68e-09
39,1.25e-08,3.19e-09
39.1,1.73e-08,3.89e-09
39.2,1.51e-08,4.06e-09
39.4,1.41e-08,3.67e-09
39.5,1.43e-08,4.21e-09
39.5,1.07e-08,3.08e-09
39.6,1.17e-08,3.03e-09
39.8,1.32e-08,3.34e-09
39.9,1.11e-08,3.06e-09
40,1.12e-08,2.86e-09
40,1.66e-08,4.04e-09
40.1,1.22e-08,2.87e-09
40.2,1.14e-08,2.93e-09
40.4,1.08e-08,2.84e-09
40.5,1.64e-08,3.76e-09
40.5,7.85e-09,2.34e-09
40.6,1.46e-08,3.63e-09
40.8,1.54e-08,3.65e-09
40.9,1.37e-08,3.23e-09
41,9.7e-09,2.99e-09
41,8.7e-09,2.68e-09
41.1,7.8e-09,2.66e-09
41.2,1.44e-08,3.24e-09
41.4,6.19e-09,2.28e-09
41.5,5.87e-09,2.17e-09
41.5,7.68e-09,2.26e-09
41.6,9.46e-09,2.95e-09
41.8,5.19e-09,1.99e-09
41.9,9.05e-09,2.56e-09
42,7.58e-09,2.32e-09
42,9.98e-09,2.96e-09
42.1,8.97e-09,2.77e-09
42.2,8.39e-09,2.47e-09
42.4,1.06e-08,2.76e-09
42.5,7.89e-09,2.39e-09
42.5,7.38e-09,2.31e-09
42.6,7.11e-09,2.51e-09
42.8,9.92e-09,2.81e-09
42.9,1.26e-08,3.17e-09
43,8.86e-09,2.47e-09
43,9.12e-09,2.43e-09
43.1,7.64e-09,2.35e-09
43.2,1e-08,2.94e-09
43.4,9.44e-09,2.67e-09
43.5,4.92e-09,1.76e-09
43.5,6.93e-09,2.26e-09
43.6,8.09e-09,2.3e-09
43.8,8.94e-09,2.58e-09
43.9,6.72e-09,2.31e-09
44,8.53e-09,2.43e-09
44,6.06e-09,1.99e-09
44.1,6.18e-09,2.13e-09
44.2,8.16e-09,2.39e-09
44.4,6.71e-09,2.31e-09
44.5,7.06e-09,2.01e-09
44.5,6.67e-09,2.25e-09
44.6,8.05e-09,2.46e-09
44.8,8.93e-09,2.75e-09
44.9,8.83e-09,2.72e-09
45,7.73e-09,2.38e-09
45,8.35e-09,2.55e-09
45.1,3.08e-09,1.57e-09
45.2,3.79e-09,1.56e-09
45.4,9.84e-09,2.81e-09
45.5,1.02e-08,2.94e-09
45.5,3.86e-09,1.75e-09
45.6,5.45e-09,1.97e-09
45.8,6.23e-09,2.28e-09
45.9,1.03e-08,2.9e-09
46,7.04e-09,2.6e-09
46,4.23e-09,1.62e-09
46.1,5.21e-09,1.9e-09
46.2,1.29e-09,7.96e-10
46.4,4.15e-09,1.72e-09
46.5,6.07e-09,2.13e-09
46.5,5.29e-09,2.06e-09
46.6,3.91e-09,1.53e-09
46.8,6.04e-09,2.07e-09
46.9,5.63e-09,2.15e-09
47,7.04e-09,2.28e-09
47,7.71e-09,2.73e-09
47.1,5.71e-09,2.13e-09
47.2,1.03e-08,2.82e-09
47.4,6.44e-09,2.41e-09
47.5,5.96e-09,2.06e-09
47.5,3.37e-09,1.61e-09
47.6,4.64e-09,1.93e-09
47.8,3.75e-09,1.7e-09
47.9,5.23e-09,2.01e-09
48,5.52e-09,2.01e-09
48,4.9e-09,1.79e-09
48.1,3.64e-09,1.57e-09
48.2,3.43e-09,1.55e-09
48.4,4.69e-09,1.8e-09
48.5,5.3e-09,2.03e-09
48.5,3.49e-09,1.86e-09
48.6,8.5e-10,8.56e-10
48.8,4.69e-09,1.86e-09
48.9,5.27e-09,2.09e-09
49,3.96e-09,1.79e-09
49,4.01e-09,1.57e-09
49.1,4.29e-09,1.68e-09
49.2,3.53e-09,1.57e-09
49.4,3.07e-09,1.39e-09
49.5,4.98e-09,1.83e-09
49.5,4.66e-09,1.88e-09
49.6,2.9e-09,1.31e-09
49.8,2.93e-09,1.36e-09
49.9,7.76e-09,2.4e-09
50,6.06e-09,2.17e-09
50,5.97e-09,1.95e-09
50.1,3.66e-09,1.65e-09
50.2,7.32e-09,2.33e-09
50.4,1.8e-09,1.29e-09
50.5,2.31e-09,1.35e-09
50.5,2.55e-09,1.49e-09
50.6,1.97e-09,1.26e-09
50.8,8.25e-10,8.32e-10
50.9,2.2e-09,1.29e-09
51,2.1e-09,1.24e-09
51,4.16e-09,1.9e-09
51.1,2.16e-09,1.17e-09
51.2,4.23e-09,1.62e-09
51.4,3.05e-09,1.54e-09
51.5,4.91e-09,1.89e-09
51.5,9.51e-10,9.58e-10
51.6,1.53e-09,1.09e-09
51.8,2.28e-09,1.21e-09
51.9,3.31e-09,1.4e-09
52,2.01e-09,1.17e-09
52,3.16e-09,1.45e-09
52.1,3.3e-09,1.67e-09
52.2,2.56e-09,1.35e-09
52.4,0,0
52.5,3.45e-09,1.6e-09
52.5,2.2e-09,1.29e-09
52.6,1.39e-09,9.96e-10
